Tên bài hát,Album,Lượt yêu thích,Lượt nghe,Nghệ sĩ,Sáng tác,Thể loại,Nhà cung cấp
"Ave, Maria (Gregoriano)","Canti Per La Liturgia, Vol. 5: A Collection of Christian Songs and Catholic Hymns (Single)",,,Musica Sacra,,"Âu Mỹ, Christian & Gospel",RouteNote
"Tota Pulchra Es, Maria","Canti Per La Liturgia, Vol. 5: A Collection of Christian Songs and Catholic Hymns (Single)",,,Musica Sacra,,"Âu Mỹ, Christian & Gospel",RouteNote
Canto Dei Pellegrini,"Canti Per La Liturgia, Vol. 5: A Collection of Christian Songs and Catholic Hymns (Single)",,,Musica Sacra,,"Âu Mỹ, Christian & Gospel",RouteNote
Vergine Madonna,"Canti Per La Liturgia, Vol. 5: A Collection of Christian Songs and Catholic Hymns (Single)",,,Musica Sacra,,"Âu Mỹ, Christian & Gospel",RouteNote
Alleluia! Il Risorto Redentore,"Canti Per La Liturgia, Vol. 4: A Collection of Christian Songs and Catholic Hymns (Single)",,,Musica Sacra,,"Âu Mỹ, Christian & Gospel",RouteNote
Sei Tornato Al Tuo Cielo,"Canti Per La Liturgia, Vol. 4: A Collection of Christian Songs and Catholic Hymns (Single)",,,Musica Sacra,,"Âu Mỹ, Christian & Gospel",RouteNote
Mejor Acabar,DESVELADO,,,"Eslabon Armado, Junior H",Pedro Julian Tovar,"Âu Mỹ, Latin, Christian & Gospel",Ingrooves Music Group
Chi Mi Ama,"Canti Per La Liturgia, Vol. 5: A Collection of Christian Songs and Catholic Hymns (Single)",,,Musica Sacra,,"Âu Mỹ, Christian & Gospel",RouteNote
"Va’, Arca Del Signore","Canti Per La Liturgia, Vol. 5: A Collection of Christian Songs and Catholic Hymns (Single)",,,Musica Sacra,,"Âu Mỹ, Christian & Gospel",RouteNote
"Veni, Sancte Spiritus","Canti Per La Liturgia, Vol. 4: A Collection of Christian Songs and Catholic Hymns (Single)",,,Musica Sacra,,"Âu Mỹ, Christian & Gospel",RouteNote
Attingeremo Con Gioia,"Canti Per La Liturgia, Vol. 4: A Collection of Christian Songs and Catholic Hymns (Single)",,,Musica Sacra,,"Âu Mỹ, Christian & Gospel",RouteNote
"Ti Esalto, Signore","Canti Per La Liturgia, Vol. 4: A Collection of Christian Songs and Catholic Hymns (Single)",,,Musica Sacra,,"Âu Mỹ, Christian & Gospel",RouteNote
Trường An Cô Nương,Tự Nhiên,430,40K,Lee Phú Quý,Lee Phú Quý,"Âu Mỹ, Pop, Nhạc Phim",RouteNote
当爱（《白月梵星》影视剧白…,《白月梵星》影视原声带,,,黄霄雲,衣睿,"Âu Mỹ, Nhạc Phim, Hoa Ngữ",JSJ MUSIC
Way forward,Squid Game 2 (Soundtrack from the Netflix Series),,,jung jaeil,jung jaeil,"Âu Mỹ, Nhạc Phim",FUGA
One Of The Girls,The Idol Episode 4 (Music from the HBO Original Series) (Single),,,"The Weeknd, JENNIE, Lily-Rose Depp",,"Âu Mỹ, Nhạc Phim",Universal Music Group
Our Theme,Glitchtale: Continue? (Original Motion Picture Soundtrack) (Single),,,NyxTheShield,,"Âu Mỹ, Nhạc Phim",RouteNote
At Rest,Romance (Single),,,Kevin MacLeod,,"Âu Mỹ, Nhạc Phim",RouteNote
Legend of Ashitaka (OT:…,Hisaishi Joe Film Concert Live,,,WE Philharmonic Orchestra,Hisaishi Joe,"Âu Mỹ, Nhạc Phim",Danal Entertainment
SAY YES,Single's Inferno S2 (Original Soundtrack from the Netflix Series),,,Jun Ha Young,"박종혁, 박재윤","Âu Mỹ, Nhạc Phim",Ingrooves Music Group
Pink Soldiers Redux,Squid Game 2 (Soundtrack from the Netflix Series),,,Kim Sungsoo,Kim Sungsoo,"Âu Mỹ, Nhạc Phim",FUGA
Moonlight Densetsu (Tango),The Best Songs of Sailor Moon (Single),,,Bregoffen,,"Âu Mỹ, Nhạc Phim",RouteNote
Jingle Bell Rock (from the…,"Jingle Bell Rock (from the Netflix Film ""Falling For Christmas"") (Single)",,,"Lindsay Lohan, Ali Tomineek","Joe Beal, James Boothe","Âu Mỹ, Nhạc Phim, Pop",FUGA
Can't Help Falling in Love,Can't Help Falling in Love (Single),,,Kacey Musgraves,"Luigi Creatore, Hugo Peretti, George David Weiss","Âu Mỹ, Nhạc Phim, Pop",Sony Music Entertainment
Bling-Bang-Bang-Born Lofi,Bling-Bang-Bang-Born Lofi (Single),,,"Mrdark, Shimu.",DJ Matsunaga,"Âu Mỹ, Nhạc Phim",FUGA
Vì mục tiêu mà cố gắng,Vì mục tiêu mà cố gắng (Single),,,Lê Ngọc Lâm,Đặng Xuân Hạ,"Âu Mỹ, Alternative, Nhạc Phim",FUGA
Dragons Rising Main Theme,LEGO Ninjago: Dragons Rising Original Score (Vol. 1),,,Ninjago Music,"Michael Kramer, Jay Vincent","Âu Mỹ, Nhạc Phim",FUGA
"Ahri, the Nine-Tailed Fox","Ahri, the Nine-Tailed Fox (Single)",,,League Of Legends,Yutaka Yamada,"Âu Mỹ, Nhạc Phim",FUGA
O X I,Squid Game 2 (Soundtrack from the Netflix Series),,,jung jaeil,jung jaeil,"Âu Mỹ, Nhạc Phim",FUGA
Under Sunset (Male Version),Melo Movie (Original Soundtrack from the Netflix Series),,,Lee Jun Young,"Kim Jongheon, Leeseon","Âu Mỹ, Nhạc Phim",Ingrooves Music Group
LEGO Ninjago: The…,LEGO Ninjago: The Crystalized Whip (Single),,,Ninjago Music,"Jay Vincent, Michael Kramer, Erin Chapman, Jeppe Riddervold","Âu Mỹ, Pop, Nhạc Phim",FUGA
Popular (From The Idol Vol.…,Popular (Music from the HBO Original Series) (Single),,,"The Weeknd, Playboi Carti, Madonna",,"Âu Mỹ, Nhạc Phim",Universal Music Group
Surfing in the Moonlight,Melo Movie (Original Soundtrack from the Netflix Series),,,TOMORROW X TOGETHER,"Ruiz, Toyo","Âu Mỹ, Nhạc Phim",Ingrooves Music Group
Under Sunset (Female…,Melo Movie (Original Soundtrack from the Netflix Series),,,Leeseon,"Kim Jongheon, Leeseon","Âu Mỹ, Nhạc Phim",Ingrooves Music Group
Not us,Melo Movie (Original Soundtrack from the Netflix Series),,,PL,"Kim Jihoon, Leeseon, Ryu seungchan","Âu Mỹ, Nhạc Phim",Ingrooves Music Group
Steal The Show (From…,"Steal The Show (From ""Elemental"") (Single)",,,Lauv,"Thomas Newman, Michael Matosic","Âu Mỹ, Nhạc Phim",Universal Music Group
Running Up That Hill (A…,Cirkeln (Official Motion Picture Soundtrack),,,Kate Bush,Kate Bush,"Âu Mỹ, Nhạc Phim",Sony Music Entertainment
Savior (Hong Isaac Version),The Trunk (Soundtrack from the Netflix Series),,,Isaac Hong,"Kim Kyuri, Kim jisu","Âu Mỹ, Nhạc Phim",Ingrooves Music Group
pokopoko,Minecraft: Tricky Trials (Original Game Soundtrack),,,"Kumi Tanioka, Minecraft",Kumi Tanioka,"Âu Mỹ, Nhạc Phim",Ingrooves Music Group
World Class Sinner / I’m A…,The Idol Episode 1 (Music from the HBO Original Series) (Single),,,Lily-Rose Depp,,"Âu Mỹ, Nhạc Phim",Universal Music Group
Round the Circle I,Squid Game 2 (Soundtrack from the Netflix Series),,,jung jaeil,jung jaeil,"Âu Mỹ, Nhạc Phim",FUGA
"Get Down, Get Down (K/DA)",REMIX RUMBLE (Original Soundtrack from Teamfight Tactics Set 10),,,League Of Legends,J.D. Spears,"Âu Mỹ, Nhạc Phim",FUGA
Shuffle of Love (From…,Descendants: The Rise of Red (Original Soundtrack),,,"Ruby Rose Turner, Disney",,"Âu Mỹ, Nhạc Phim",Universal Music Group
Calling U,Melo Movie (Original Soundtrack from the Netflix Series),,,Heo Hoy Kyung,"LIMNO, Jian, DO-YOUNG JUNG, Mohan, Krass","Âu Mỹ, Nhạc Phim",Ingrooves Music Group
You're Nothing but a Puppet,Squid Game 2 (Soundtrack from the Netflix Series),,,jung jaeil,jung jaeil,"Âu Mỹ, Nhạc Phim",FUGA
Megalovania,Video Game Piano Arrangements,,,Akmigone,Toby Fox,"Âu Mỹ, Nhạc Phim",FUGA
Orchestrated Chaos,REMIX RUMBLE (Original Soundtrack from Teamfight Tactics Set 10),,,League Of Legends,"Kole Hicks, Jason Walsh, J.D. Spears, Bill Hemstapat, Seth Tsui","Âu Mỹ, Nhạc Phim",FUGA
Kimetsu no Yaiba,MOE,,,Raul Vinícius,Raul Vinícius,"Âu Mỹ, Nhạc Phim",FUGA
Let Me Be a Part of the Game,Squid Game 2 (Soundtrack from the Netflix Series),,,jung jaeil,jung jaeil,"Âu Mỹ, Nhạc Phim",FUGA
Rias Gremory Theme (High…,Rias Gremory Theme (High School DxD) (Single),,,Summoning Beatz,Ryosuke Nakanashi,"Âu Mỹ, Nhạc Phim",FUGA
Vote I,Squid Game 2 (Soundtrack from the Netflix Series),,,jung jaeil,jung jaeil,"Âu Mỹ, Nhạc Phim",FUGA
Out of Your League (K/DA),REMIX RUMBLE (Original Soundtrack from Teamfight Tactics Set 10),,,League Of Legends,J.D. Spears,"Âu Mỹ, Nhạc Phim",FUGA
Fill The Void,The Idol Episode 4 (Music from the HBO Original Series) (Single),,,"The Weeknd, Lily-Rose Depp, Ramsey",,"Âu Mỹ, Nhạc Phim",Universal Music Group
Earned It (Fifty Shades Of…,Avatar: The Way of Water (Original Motion Picture Soundtrack),,,The Weeknd,,"Âu Mỹ, Nhạc Phim",Universal Music Group
Better Place (From TROLLS…,Better Place (From TROLLS Band Together) (Single),,,"*NSYNC, Justin Timberlake","Justin Timberlake, Shellback, Amy Allen","Âu Mỹ, Pop, Children's Music, Nhạc Phim",Sony Music Entertainment
Shinzou wo Sasageyo!,Shinzou wo Sasageyo! (Single),,,JaianMusic,,"Âu Mỹ, Nhạc Phim",RouteNote
Let's Go Out!,Squid Game 2 (Soundtrack from the Netflix Series),,,jung jaeil,jung jaeil,"Âu Mỹ, Nhạc Phim",FUGA
Jung-bae ya!,Squid Game 2 (Soundtrack from the Netflix Series),,,jung jaeil,jung jaeil,"Âu Mỹ, Nhạc Phim",FUGA
2024 World Championship…,2024 World Championship Theme (Single),,,League Of Legends,"Richard Thomson, Bill Hemstapat, J.D. Spears","Âu Mỹ, Nhạc Phim, Classical",FUGA
No way back,Squid Game 2 (Soundtrack from the Netflix Series),,,jung jaeil,jung jaeil,"Âu Mỹ, Nhạc Phim",FUGA
Roaring Tides Lofi (Clannad),Roaring Tides Lofi (Clannad) (Single),,,Summoning Beatz,Shinji Orito,"Âu Mỹ, Nhạc Phim",FUGA
False Idols,The Idol Episode 5 Part 1 (Music from the HBO Original Series) (Single),,,"The Weeknd, Lil Baby, Suzanna Son",,"Âu Mỹ, Nhạc Phim",Universal Music Group
No Chill (Heartsteel),REMIX RUMBLE (Original Soundtrack from Teamfight Tactics Set 10),,,League Of Legends,Bill Hemstapat,"Âu Mỹ, Nhạc Phim",FUGA
Double Fantasy,Double Fantasy (Single),,,"The Weeknd, Future",,"Âu Mỹ, Nhạc Phim",Universal Music Group
Round the Circle V,Squid Game 2 (Soundtrack from the Netflix Series),,,jung jaeil,jung jaeil,"Âu Mỹ, Nhạc Phim",FUGA
Le Monde (Piano Version),Le Monde (Piano Version) (Single),,,Tom Jordan,"Enrique Dizeo, Angel Amato","Âu Mỹ, Nhạc Phim",FUGA
Double Life (From…,"Double Life (From ""Despicable Me 4"") (Single)",,,Pharrell Williams,Pharrell Williams,"Âu Mỹ, Pop, Nhạc Phim",Sony Music Entertainment
The Stage is Set (Carousel),REMIX RUMBLE (Original Soundtrack from Teamfight Tactics Set 10),,,League Of Legends,"Jason Walsh, Kole Hicks","Âu Mỹ, Nhạc Phim",FUGA
Final Battle of the Dark…,Final Battle (Single),,,Kevin MacLeod,,"Âu Mỹ, Nhạc Phim",RouteNote
Savior (Kyuri Version),The Trunk (Soundtrack from the Netflix Series),,,Kyuri,"Kim Kyuri, Kim jisu","Âu Mỹ, Nhạc Phim",Ingrooves Music Group
Take Me Back,The Idol Episode 3 (Single),,,The Weeknd,,"Âu Mỹ, Nhạc Phim",Universal Music Group
Creator,Minecraft: Tricky Trials (Original Game Soundtrack),,,"Lena Raine, Minecraft",Lena Raine,"Âu Mỹ, Nhạc Phim",Ingrooves Music Group
Il Vento d'Oro (Giorno's…,Deliverance (EP),,,Vasaria Project,Yugo Kanno,"Âu Mỹ, Nhạc Phim",FUGA
A White Limousine II,Squid Game 2 (Soundtrack from the Netflix Series),,,Park Min Joo,Park Min Joo,"Âu Mỹ, Nhạc Phim",FUGA
Player vs Pink Guards,Squid Game 2 (Soundtrack from the Netflix Series),,,Park Min Joo,Park Min Joo,"Âu Mỹ, Nhạc Phim",FUGA
Happy Coincidence,Melo Movie (Original Soundtrack from the Netflix Series),,,"Yu Hui Hyeon, Park Se Jun","Yu Hui Hyeon, Park Se Jun","Âu Mỹ, Nhạc Phim",Ingrooves Music Group
Vegas,Vegas (From the Original Motion Picture Soundtrack ELVIS) (Single),,,Doja Cat,"Amala Zandile Dlamini, David Sprecher, Rogét Chahayed, Jerry Leiber, Mike Stoller","Âu Mỹ, Nhạc Phim",Sony Music Entertainment
Round II,Squid Game 2 (Soundtrack from the Netflix Series),,,jung jaeil,jung jaeil,"Âu Mỹ, Nhạc Phim",FUGA
Coffee & Bagel,Melo Movie (Original Soundtrack from the Netflix Series),,,moony,"Kim Beomju, KIM SIHYEOK","Âu Mỹ, Nhạc Phim",Ingrooves Music Group
Neon Nightlife (Disconauts),REMIX RUMBLE (Original Soundtrack from Teamfight Tactics Set 10),,,League Of Legends,Brendon Williams,"Âu Mỹ, Nhạc Phim",FUGA
Don't Die in Vain,Squid Game 2 (Soundtrack from the Netflix Series),,,jung jaeil,jung jaeil,"Âu Mỹ, Nhạc Phim",FUGA
O X II,Squid Game 2 (Soundtrack from the Netflix Series),,,jung jaeil,jung jaeil,"Âu Mỹ, Nhạc Phim",FUGA
Romantic Dinner,Restaurant Jazz Background (Single),,,Restaurant Jazz Playlist,,"Âu Mỹ, Blues / Jazz, Nhạc Phim",RouteNote
Dancing Through Life,Wicked: The Soundtrack,,,"Jonathan Bailey, Ariana Grande, Ethan Slater, Marissa Bode, Cynthia Erivo",,"Âu Mỹ, Nhạc Phim",Universal Music Group
Carolina (From The Motion…,Carolina (From The Motion Picture “Where The Crawdads Sing”) (Single),,,Taylor Swift,,"Âu Mỹ, Nhạc Phim",Universal Music Group
One Of The Girls (Sped Up),One of the Girls (Single),,,"The Weeknd, JENNIE, Lily-Rose Depp",,"Âu Mỹ, Nhạc Phim",Universal Music Group
ANIME,Sleepless Arcade (Single),,,アロキン,,"Âu Mỹ, Electronic / Dance, Nhạc Phim",RouteNote
Cry,Cry (Single),,,Akuya,,"Âu Mỹ, Nhạc Phim",RouteNote
thick of it (hatsune miku ver.),thick of it (hatsune miku ver.) (Single),,,ven dump,Ven V.,"Âu Mỹ, Nhạc Phim",FUGA
A Toilet Fight I,Squid Game 2 (Soundtrack from the Netflix Series),,,Park Min Joo,Park Min Joo,"Âu Mỹ, Nhạc Phim",FUGA
"Con La Brisa (From ""Black…",Black Panther: Wakanda Forever - Music From and Inspired By,,,"Foudeqush, Ludwig Göransson",,"Âu Mỹ, Nhạc Phim",Universal Music Group
Gong-gi with Bullets,Squid Game 2 (Soundtrack from the Netflix Series),,,jung jaeil,jung jaeil,"Âu Mỹ, Nhạc Phim",FUGA
Duel Come Dawn…,REMIX RUMBLE (Original Soundtrack from Teamfight Tactics Set 10),,,League Of Legends,Bill Hemstapat,"Âu Mỹ, Nhạc Phim",FUGA
Player vs Pink Guards III,Squid Game 2 (Soundtrack from the Netflix Series),,,Park Min Joo,Park Min Joo,"Âu Mỹ, Nhạc Phim",FUGA
Follow the Music (Base),REMIX RUMBLE (Original Soundtrack from Teamfight Tactics Set 10),,,League Of Legends,"Chase Bethea, Kole Hicks","Âu Mỹ, Nhạc Phim",FUGA
Worldwide Hu$tle (True…,REMIX RUMBLE (Original Soundtrack from Teamfight Tactics Set 10),,,League Of Legends,Kole Hicks,"Âu Mỹ, Nhạc Phim",FUGA
Funeral,Squid Game 2 (Soundtrack from the Netflix Series),,,Kim Sungsoo,Kim Sungsoo,"Âu Mỹ, Nhạc Phim",FUGA
Your Inner Thoughts,Melo Movie (Original Soundtrack from the Netflix Series),,,Lee Nyeom,Lee Nyeom,"Âu Mỹ, Nhạc Phim",Ingrooves Music Group
Daily,Melo Movie (Original Soundtrack from the Netflix Series),,,Woo Ji Hoon,Woo Ji Hoon,"Âu Mỹ, Nhạc Phim",Ingrooves Music Group
Snowbird,Snowbird (Single),,,"Nick Phoenix, Two Steps From Hell",Nick Phoenix,"Âu Mỹ, Nhạc Phim",FUGA
Ddakji Man,Squid Game 2 (Soundtrack from the Netflix Series),,,Park Min Joo,Park Min Joo,"Âu Mỹ, Nhạc Phim",FUGA
A Lesser Man,The Idol Episode 3 (Single),,,The Weeknd,,"Âu Mỹ, Nhạc Phim",Universal Music Group
Part of Your World (From…,"Part of Your World (From ""The Little Mermaid"") (Single)",,,Hallé,,"Âu Mỹ, Nhạc Phim",Universal Music Group
Top Gun Anthem,Top Gun: Maverick (Music From The Motion Picture),,,"Harold Faltermeyer, Lady Gaga, Hans Zimmer, Lorne Balfe",,"Âu Mỹ, Nhạc Phim",Universal Music Group
Life Is Sweeter (Reprise)…,Descendants: The Rise of Red (Original Soundtrack),,,"Rita Ora, Kylie Cantrall, Disney",,"Âu Mỹ, Nhạc Phim",Universal Music Group
Dollhouse,The Idol Episode 5 Part 2 (Music from the HBO Original Series) (Single),,,"The Weeknd, Lily-Rose Depp",,"Âu Mỹ, Nhạc Phim",Universal Music Group
I Always Wanted A Brother…,Mufasa: The Lion King (Original Motion Picture Soundtrack),,,"Braelyn Rankins, Theo Somolu, Aaron Pierre, Kelvin Harrison Jr., Disney",Nicholas Britell,"Âu Mỹ, Nhạc Phim",Universal Music Group
The Godfather - Main Title…,At the Movies,,,Andre Rieu,,"Âu Mỹ, Nhạc Phim",Universal Music Group
So This Is Love (From…,Descendants: The Rise of Red (Original Soundtrack),,,"Brandy, Paolo Montalban, Disney",,"Âu Mỹ, Nhạc Phim",Universal Music Group
Popular,Wicked: The Soundtrack,,,Ariana Grande,,"Âu Mỹ, Nhạc Phim",Universal Music Group
Crocodile Tears,The Idol Episode 5 Part 2 (Music from the HBO Original Series) (Single),,,Suzanna Son,,"Âu Mỹ, Nhạc Phim",Universal Music Group
This Wish (From…,"This Wish (From ""Wish"") (Single)",,,"Ariana DeBose, Disney","Benjamin Rice, JP Saxe","Âu Mỹ, Nhạc Phim",Universal Music Group
Mộng Hồng Trần,Mộng Hồng Trần,,,Lee Phú Quý,Lee Phú Quý,"Âu Mỹ, Country",RouteNote
Enchanted (Taylor's Version),Speak Now (Taylor's Version),,,Taylor Swift,,"Âu Mỹ, Country",Universal Music Group
A Bar Song (Tipsy),A Bar Song (Tipsy) (Single),,,Shaboozey,"Sean Cook, Nevin Sastry","Âu Mỹ, Country",Empire Music
Buông Xuống Duyên Khó Bỏ,Hoa Nở Hoa Tàn Tự Có Lúc,318,25K,Lee Phú Quý,Lee Phú Quý,"Âu Mỹ, Country",RouteNote
Không Có Em Bên Cạnh…,Lan Nhân Nhứ Quả,699,48K,Lee Phú Quý,Lee Phú Quý,"Âu Mỹ, Pop, Country",RouteNote
I Had Some Help,I Had Some Help (Single),,,"Post Malone, Morgan Wallen",,"Âu Mỹ, Country",Universal Music Group
Mộng Đẹp Ngày Xưa,Đào Hoa Nặc,330,21K,Lee Phú Quý,Lee Phú Quý,"Âu Mỹ, Pop, Country",RouteNote
Love Somebody,Love Somebody (Single),,,Morgan Wallen,,"Âu Mỹ, Country",Universal Music Group
I Dare You,I Dare You (Single),,,"Rascal Flatts, Jonas Brothers",,"Âu Mỹ, Country",Universal Music Group
I Love The Way You Love…,I Love The Way You Love Me (Cover) (Single),,,Travis Atreo,,"Âu Mỹ, Country",Ingrooves Music Group
I'm The Problem,I'm The Problem (Single),,,Morgan Wallen,,"Âu Mỹ, Country",Universal Music Group
Back To December…,Speak Now (Taylor's Version),,,Taylor Swift,,"Âu Mỹ, Country",Universal Music Group
Stand By Your Man,Classiques (Single),,,Guylaine Tanguay,"Billy Sherrill, Tammy Wynette","Âu Mỹ, Country",RouteNote
Sparks Fly (Taylor’s Version),Speak Now (Taylor's Version),,,Taylor Swift,,"Âu Mỹ, Country",Universal Music Group
Mine (Taylor's Version),Speak Now (Taylor's Version),,,Taylor Swift,,"Âu Mỹ, Country",Universal Music Group
Last Night,3 Songs At A Time Sampler (Single),,,Morgan Wallen,,"Âu Mỹ, Country",Universal Music Group
Giác Ngộ,Phi Tuyết Ngọc Hoa,25,1K,Lee Phú Quý,Nguyễn Trường Thành,"Âu Mỹ, Country",RouteNote
Mean (Taylor's Version),Speak Now (Taylor's Version),,,Taylor Swift,,"Âu Mỹ, Country",Universal Music Group
Ours (Taylor’s Version),Speak Now (Taylor's Version),,,Taylor Swift,,"Âu Mỹ, Country",Universal Music Group
Power Of Love,Classiques (Single),,,Guylaine Tanguay,"Mary Susan Applegate, Gunther Mende, Candy DERouge, Jennifer Rush","Âu Mỹ, Country",RouteNote
"Take Me Home, Country…","Take Me Home, Country Roads (Single)",,,"Lili Be & The Rocky Mountain VBand, María Isabel García Martínez",,"Âu Mỹ, Country",RouteNote
Long Live (Taylor's Version),Speak Now (Taylor's Version),,,Taylor Swift,,"Âu Mỹ, Country",Universal Music Group
Anak,Anak (Single),,,A.R. Rakib Naeem,Al Amin Khan,"Âu Mỹ, Country",RouteNote
Đứng Bên Bờ An Nhiên,Phi Tuyết Ngọc Hoa,21,1K,Lee Phú Quý,Lee Phú Quý,"Âu Mỹ, Country",RouteNote
Khuc Nhac Hay,Dan Tranh,,,Mr Loc Vuong,,"Âu Mỹ, Country",RouteNote
More Than I can Say,Greatest Country Songs Of All Time Vol. 1 (Single),,,DirkJan Ranzijn,,"Âu Mỹ, Country",RouteNote
TEXAS HOLD 'EM,TEXAS HOLD 'EM (Single),,,Beyoncé,"Beyoncé, Elizabeth Lowell Boland, Raphael Saadiq, Nate Ferraro, Megan Bulow, Brian Bates","Âu Mỹ, Country, Pop",Sony Music Entertainment
The Night,Complicated Luck (Single),,,Tom Kell,,"Âu Mỹ, Country",RouteNote
Gorgeous,Gorgeous (Single),,,Kane Brown,"Blake Anthony Carter, Gabe Foust, Jaxson Free, Gregory Aldae Hein","Âu Mỹ, Country",Sony Music Entertainment
Rodeo,"The Best Of Brooks, Vol. 2 (Single)",,,Brandon Garth,,"Âu Mỹ, Country",RouteNote
Vô Thường,Phi Tuyết Ngọc Hoa,15,566,Lee Phú Quý,Lee Phú Quý,"Âu Mỹ, Country",RouteNote
(Ghost) Riders In The Sky,A Hundred Highways (Single),,,Def Americans,,"Âu Mỹ, Country, Blues / Jazz",RouteNote
A Bar Song (Tipsy),A Bar Song (Tipsy) (Single),,,Shaboozey,"Sean Cook, Nevin Sastry","Âu Mỹ, Country",Empire Music
Liên Tâm,Chờ Người Đến Tấu Khúc Vô Ki,16,553,Lee Phú Quý,Lee Phú Quý,"Âu Mỹ, Country",RouteNote
English,Příběhy (Single),,,Vojtěch Polášek,,"Âu Mỹ, Country",RouteNote
I Had Some Help,I Had Some Help (Single),,,"Post Malone, Morgan Wallen",,"Âu Mỹ, Country",Universal Music Group
Meant To Be,Songs With Friends: Duets & More 2022,,,"Bebe Rexha, Florida Georgia Line",,"Âu Mỹ, Country",Universal Music Group
Tử Trúc Thanh Phong,Chờ Người Đến Tấu Khúc Vô Ki,18,584,Lee Phú Quý,Lee Phú Quý,"Âu Mỹ, Country",RouteNote
Hate Hate Hate,Fantasy Island,,,Nikita Karmen,Noby Sidez,"Âu Mỹ, Country",Empire Music
Chuyển Thế Liên Hoa,Tháng Năm Giục Lão,28,1K,Lee Phú Quý,Lee Phú Quý,"Âu Mỹ, Country",RouteNote
Smile,Smile (Single),,,Morgan Wallen,,"Âu Mỹ, Country",Universal Music Group
One More Yesterday,One More Yesterday (Single),,,Todd Apfel,,"Âu Mỹ, Country, Christian & Gospel",RouteNote
Guy For That,Guy For That (Single),,,"Post Malone, Luke Combs",,"Âu Mỹ, Country",Universal Music Group
Ok,Ok (Single),,,"Rasster, EFER, Maxim Schunk","Denis Kharitonov, Frederic Rappenecker, Koos Kamerling, Jord Brinkhuis","Âu Mỹ, Country, Electronic / Dance",RouteNote
Day Song,Dan Tranh,,,Mr Loc Vuong,,"Âu Mỹ, Country",RouteNote
From This Moment,Classiques (Single),,,Guylaine Tanguay,"Robert John ""Mutt"" Lange, Shania Twain","Âu Mỹ, Country",RouteNote
Duyen So,Dan Tranh,,,Mr Loc Vuong,,"Âu Mỹ, Country",RouteNote
Hear Me Now (Cover en…,iCovers Marimba 502 (Covers en Marimba) (Single),,,iCovers Marimba 502,,"Âu Mỹ, Country",RouteNote
Speak Now (Taylor's Version),Speak Now (Taylor's Version),,,Taylor Swift,,"Âu Mỹ, Country",Universal Music Group
Tình Cảm Là Hoa Sen Tự…,Nói Ít Một Câu Đọc Nhiều Kinh Phật,110,4K,Lee Phú Quý,Lee Phú Quý,"Âu Mỹ, Country",RouteNote
Deeper Well,Deeper Well (Single),,,Kacey Musgraves,,"Âu Mỹ, Country",Universal Music Group
Last Of My Kind (feat. Paul…,"Where I've Been, Isn't Where I'm Going",,,"Shaboozey, Paul Cauthen","Sean Cook, McKay Stevens, Nevin Sastry","Âu Mỹ, Country",Empire Music
You Are Everything,I Remember You (Single),,,Casey Dilworth,,"Âu Mỹ, Country, Alternative",RouteNote
Giver / Taker,Deeper Well,,,Kacey Musgraves,,"Âu Mỹ, Country",Universal Music Group
Say Less,Say Less (Single),,,Brett Young,,"Âu Mỹ, Country",Universal Music Group
Getting Over You Thing,Getting Over You Thing (Single),,,"Sophia Scott, Zack Dyer","Adam Yaron, The 720","Âu Mỹ, Country",Empire Music
If He Wanted To He Would,P.S.,,,Kylie Morgan,,"Âu Mỹ, Country",Universal Music Group
The Story Of Us (Taylor's…,Speak Now (Taylor's Version),,,Taylor Swift,,"Âu Mỹ, Country",Universal Music Group
I Like It,I Like It (Single),,,"Alesso, Nate Smith","Nate Smith, Alesso, Sean Douglas, Zach Skelton, Jacob Torrey","Âu Mỹ, Country",Sony Music Entertainment
Anabelle,Anabelle (Single),,,Shaboozey,"Sean Cook, Nevin Sastry, Mason Sacks","Âu Mỹ, Country",Empire Music
"Take Me Home, Country…","Take Me Home, Country Roads (Single)",,,Lana Del Rey,,"Âu Mỹ, Country",Universal Music Group
Baby Don't Go,Twaine (Single),,,Twaine,,"Âu Mỹ, Rock, Country",RouteNote
Somebody's Maybe,Somebody's Maybe (Single),,,Amanda Jordan,Joel Bruyere,"Âu Mỹ, Country",Empire Music
Vegas,"Where I've Been, Isn't Where I'm Going",,,Shaboozey,Nevin Sastry,"Âu Mỹ, Country",Empire Music
Hao Khi,Dan Tranh,,,Mr Loc Vuong,,"Âu Mỹ, Country",RouteNote
Timeless (Taylor’s Version)…,Speak Now (Taylor's Version),,,Taylor Swift,,"Âu Mỹ, Country",Universal Music Group
The Architect,Deeper Well,,,Kacey Musgraves,,"Âu Mỹ, Country",Universal Music Group
Highway,"Where I've Been, Isn't Where I'm Going",,,Shaboozey,"Sean Cook, McKay Stevens","Âu Mỹ, Country",Empire Music
Break Your Heart,Break Your Heart (Single),,,Amanda Jordan,"Jimmy Robbins, Eric Arjes","Âu Mỹ, Country",Empire Music
Never Say I Love You Again,Never Say I Love You Again (Single),,,Huntley,,"Âu Mỹ, Country",RouteNote
Miles On It,Miles On It (Single),,,"Marshmello, Kane Brown","Marshmello, Kane Brown, Earwulf, Connor McDonough, Jake Torrey, Riley McDonough, Castle","Âu Mỹ, Country, Pop",Sony Music Entertainment
